reservoir_name,dam_name,district,sub_basin,major_basin,latitude,longitude,lsl_m,frl_m,active_depth_m,official_live_capacity_mcm,matched_waterbody_name,waterbody_area_sqkm,waterbody_match_score,waterbody_distance_km,rs_geometry_capacity_mcm,calibrated_capacity_mcm,hypsometric_shape_factor,latest_water_level_m,latest_reported_storage_mcm,model_storage_from_level_mcm,model_vs_reported_storage_pct_of_capacity,capacity_confidence,method
Bargi,Bargi,Jabalpur,Banjar / Gaur,Narmada,22.94,79.92,403.35,422.76,19.41,3180.0,Bargi,262.2856,1.1191,17.402,2138.204,3180.0,0.6246,407.7,423.0,422.234,-0.024,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Mahi Main,Mahi Main Dam,Jhabua,Mahi,Mahi,22.88,74.99,441.0,451.5,10.5,135.6,Mahi Main,10.5353,1.2467,3.786,46.461,135.6,1.2258,441.0,0.0,0.0,0.0,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Indira Sagar,Indirasagar,Khandwa,Narmada,Narmada,22.28,76.47,254.13,262.13,8.0,9282.0,Indirasagar,659.0745,1.1034,21.895,2214.49,9282.0,1.7604,248.5,1566.0,0.0,-16.871,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Omkareshwar,Omkareshwar,Khandwa,Narmada,Narmada,22.24,76.16,193.54,196.6,3.06,223.08,Omkareshwar,67.8875,1.2282,9.088,87.249,223.08,1.0739,194.91,90.65,75.389,-6.841,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Sukta Tank,Sukta,Khandwa,Sukta,Narmada,21.59,76.27,399.59,410.57,10.98,78.06,Sukta,10.0261,1.252,2.297,46.236,78.06,0.7091,402.02,14.54,10.19,-5.572,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Dejala Dewda,Dejla Dewda,Khargone,Veda,Narmada,21.59,75.62,369.56,383.2,13.64,50.29,Dejla Dewda,5.4949,1.256,1.135,31.479,50.29,0.671,369.9,0.75,0.344,-0.807,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Matiyari,Matiyari,Mandla,Burhner,Narmada,22.52,80.58,484.0,497.43,13.43,51.12,Matiyari,5.6829,1.2559,1.173,32.055,51.12,0.6698,492.26,22.39,26.522,8.084,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Thanwar,Thanwar,Mandla,Wainganga,Godavari,22.59,80.06,470.0,481.1,11.1,123.53,Thanwar,16.5108,1.246,3.997,76.973,123.53,0.674,471.69,9.72,9.733,0.01,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
KakaSahab Gadagil Sagar,Kaka Sahab gadagil sagar Project,Mandsaure,Chambal,Ganges - Bramaputra,24.26,74.95,456.3,460.8,4.5,20.24,Kaka Sahib Gadgil Sagar,5.4661,1.1898,2.418,10.331,20.24,0.8228,456.3,0.0,0.0,0.0,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Retam Barrage,Retam Barrage,Mandsaure,Chambal,Ganges - Bramaputra,24.35,75.08,424.0,428.5,4.5,11.66,Retam,3.9625,1.2551,1.411,7.489,11.66,0.6539,424.0,0.0,0.0,0.0,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Aoda,Aoda,Morena,Kunwari,Ganges - Bramaputra,25.52,76.79,335.28,348.23,12.95,45.05,Aoda,5.9292,1.2536,1.838,32.249,45.05,0.5867,338.94,3.273,8.181,10.896,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Tawa,Tawa,Narmadapuram,Tawa,Narmada,22.56,77.98,336.8,355.4,18.6,1944.18,Tawa,166.3882,1.2381,6.26,1299.825,1944.18,0.6282,338.48,85.11,75.694,-0.484,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Barna,Barna Dam,Raisen,Barna,Narmada,23.05,78.06,338.1,348.55,10.45,455.8,Barna,60.5442,1.2445,4.434,265.728,455.8,0.7204,344.22,192.605,221.351,6.307,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Dahod,Dahod Dam,Raisen,Betwa,Narmada,23.028313,77.489426,453.54,459.94,6.4,26.42,Dahod,6.2991,1.254,1.701,16.932,26.42,0.6554,455.34,2.79,4.767,7.481,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Kundalia Major Project,Kundalia Major Project,Rajgarh,Chambal,Ganges - Bramaputra,23.92,76.31,380.0,400.0,20.0,582.75,Kundaliya,26.025,1.1967,5.998,218.61,582.75,1.1196,389.7,142.31,219.398,13.228,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Kunwar Chain Sagar (Dudhi),Kuwar Chain Sagar (Dudhi),Rajgarh,Chambal,Chambal,23.664356,76.91996,446.28,450.78,4.5,22.37,Kunwar Chai Sagar,7.2979,1.1958,1.899,13.793,22.37,0.6812,445.1,0.0,0.0,0.0,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Kushalpura,Kushalpura,Rajgarh,Chambal,Ganges - Bramaputra,23.79,76.89,415.6,418.9,3.3,14.84,Kushalpura,4.5829,1.2523,2.195,6.352,14.84,0.9812,411.8,0.0,0.0,0.0,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Mohanpura Multipurpose Project,Mohanpura,Rajgarh,Chambal,Ganges - Bramaputra,23.97,76.78,377.05,398.0,20.95,572.96,Mohanpura,40.6013,1.234,7.431,357.251,572.96,0.6736,390.7,209.63,321.333,19.496,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Dholawad Tank,Dholawad,Ratlam,Mahi,Mahi,23.27,74.9,380.0,395.0,15.0,49.94,Dholawad,4.7347,1.2572,0.812,29.829,49.94,0.7032,383.13,4.38,6.022,3.287,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Kolar,Kolar Dam,Sehore,Kolar,Narmada,22.96,77.35,432.93,462.2,29.27,265.0,Kolar,17.8363,1.241,5.419,219.268,265.0,0.5076,452.6,120.2,154.957,13.116,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Bansagar,Bansagar,Shahdol,Son,Ganges - Bramaputra,24.19,81.29,323.1,341.64,18.54,5429.06,Bansagar,336.1789,1.0968,23.784,2617.758,5429.06,0.8711,335.64,2712.94,3202.419,9.016,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Tillar,Tillar,Shajapur,Chambal,Ganges - Bramaputra,23.6,76.11,432.0,439.9,7.9,45.27,Tillar,7.581,1.2558,1.201,25.154,45.27,0.7559,432.99,2.607,2.742,0.299,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Upper Kaketo,Upper Kaketo,Sheopur,Sind,Ganges - Bramaputra,25.86,77.58,363.0,370.0,7.0,52.24,Upper Kaketo,10.9897,1.256,1.135,32.31,52.24,0.6791,363.6,1.18,1.895,1.369,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Madikheda,Manikheda,Shivpuri,Sind,Ganges - Bramaputra,25.56,77.85,320.05,346.25,26.2,834.83,Manijheda,49.7901,1.1458,9.769,547.89,834.83,0.64,339.35,473.54,552.578,9.468,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Mahuar,Mahuar,Shivpuri,Sind,Ganges - Bramaputra,25.36,78.0,317.0,331.0,14.0,65.03,Mahuar,5.5725,1.2553,1.341,32.766,65.03,0.8336,321.35,12.72,13.422,1.079,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Mohini Pick Up Weir,Mohini Pick up Weir,Shivpuri,Sind,Ganges - Bramaputra,25.67,77.89,263.95,276.25,12.3,99.72,Mohini Pickup,14.601,0.9332,3.374,75.429,99.72,0.5553,270.3,29.3,40.847,11.579,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Mahan,Mahan Dam,Sidhi,Son,Ganges - Bramaputra,24.23,81.54,307.0,325.0,18.0,149.76,Mahan Dam,12.5174,1.2494,3.03,94.632,149.76,0.6647,320.73,82.967,103.904,13.981,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Bansujara Major Project,Bansujara,Tikamgarh,Jamni,Ganges - Bramaputra,24.63,79.14,302.5,316.5,14.0,276.04,Bansujara,33.2447,1.2437,4.662,195.479,276.04,0.5931,310.85,82.427,137.397,19.914,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Sagad,Sagad,Vidisha,Jamni,Ganges - Bramaputra,23.92,77.63,448.05,455.64,7.59,75.72,Sagad,14.8995,1.2503,2.785,47.496,75.72,0.6696,448.15,0.49,0.219,-0.358,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Samrat Ashok Sagar (Halali),Samrat Ashok Sagar (Halali),Vidisha,Jamni,Ganges - Bramaputra,23.5,77.55,448.95,459.61,10.66,252.13,Samrat Ashok Sagar,52.0203,1.1843,5.166,232.905,252.13,0.4547,454.09,46.87,94.179,18.764,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Sanjay Sagar (Bah) Project,Sanjay Sagar(Bah) Project,Vidisha,Jamni,Ganges - Bramaputra,23.77,77.51,440.5,448.2,7.7,76.52,Sanjay Sagar (Bah),17.8748,1.2511,2.55,57.807,76.52,0.556,441.02,2.614,2.012,-0.787,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Singhpur,Singhpur Barrage,Chhatarpur,Dhasan,Ganges - Bramaputra,24.77,80.57,201.98,209.2,7.22,45.69,,,,,,45.69,,206.4,16.546,23.557,15.344,Low - no remote-sensing waterbody match,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Harsi,Harsi Dam,Gwalior,Kunwari,Ganges - Bramaputra,25.75,77.23,252.06,264.93,12.87,192.66,Harsi,21.0755,0.9457,66.934,113.921,192.66,0.7103,260.96,102.72,117.095,7.461,Medium - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Pehsari,Pehsari,Gwalior,Sind,Ganges - Bramaputra,25.98,77.77,331.8,334.36,2.56,49.38,Pehsari,5.1294,1.2578,0.622,5.515,49.38,3.7605,331.95,32.81,1.072,-64.273,Medium - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Gandhisagar,Gandhisagar,Mandsaur,Chambal,Ganges - Bramaputra,24.7,75.55,381.0,399.9,18.9,6607.42,Gandhi Sagar,572.561,1.0177,29.917,4544.989,6607.42,0.6106,395.51,4152.01,4624.444,7.15,Medium - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Kotwal Feeder,Pagra Tank (Feeder),Morena,Ken,Ganges - Bramaputra,23.73,78.76,164.65,168.4,3.75,57.45,Pagra Tank (Feeder),13.2959,1.0118,48.05,20.941,57.45,1.1522,168.3,55.75,55.392,-0.624,Medium - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Pagara,Pagara,Morena,Sindh,Ganges - Bramaputra,24.07,79.08,182.88,199.33,16.45,120.485,Pagara,10.6786,0.9,272.849,73.778,120.485,0.6859,192.96,39.775,62.199,18.611,Medium - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Pawai Medium Irrigation Project,Pawai,Panna,Ken,Ganges - Bramaputra,24.2,80.36,330.0,340.5,10.5,122.25,Pawai,3.8913,1.2474,3.606,17.161,122.25,2.992,334.1,32.557,34.348,1.465,Medium - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Pagra Feeder,Pagra Tank (Feeder),Sagar,Ken,Ganges - Bramaputra,23.73,78.76,433.04,445.02,11.98,94.04,Pagra Tank (Feeder),13.2959,1.0118,48.05,66.9,94.04,0.5904,440.05,32.977,45.616,13.44,Medium - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Wainganga (Sanjay Sarovar),Wainganga (Sanjay Sarovar),Seoni,Wainganga,Godavari,22.38,79.66,506.27,519.38,13.11,410.0,Weinganga,38.0023,0.6869,6.347,209.248,410.0,0.8229,508.3,37.8,33.048,-1.159,Medium - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
