station_code,station_name,district,river,tributary,latitude,longitude,comid,streamorder,forecast_time,lead_day,meanflow_cms,returnperiod,linkage_status,distance_m
023MP01Vjpur,Bijaypur,Sheopur,Ganga,Yamuna,26.049999999999997,77.46666666666667,441116414,8,2026-07-08T03:00:00+00:00,5,226.7,0,Linked live river forecast reach,34720.228320648675
023MP01Vjpur,Bijaypur,Sheopur,Ganga,Yamuna,26.049999999999997,77.46666666666667,441116414,8,2026-07-08T06:00:00+00:00,5,250.4,0,Linked live river forecast reach,34720.228320648675
023MP01Vjpur,Bijaypur,Sheopur,Ganga,Yamuna,26.049999999999997,77.46666666666667,441116414,8,2026-07-08T09:00:00+00:00,5,275.2,0,Linked live river forecast reach,34720.228320648675
023MP01Vjpur,Bijaypur,Sheopur,Ganga,Yamuna,26.049999999999997,77.46666666666667,441116414,8,2026-07-08T12:00:00+00:00,5,300.8,0,Linked live river forecast reach,34720.228320648675
023MP01Vjpur,Bijaypur,Sheopur,Ganga,Yamuna,26.049999999999997,77.46666666666667,441116414,8,2026-07-08T15:00:00+00:00,5,328.2,0,Linked live river forecast reach,34720.228320648675
023MP01Vjpur,Bijaypur,Sheopur,Ganga,Yamuna,26.049999999999997,77.46666666666667,441116414,8,2026-07-08T18:00:00+00:00,5,355.0,0,Linked live river forecast reach,34720.228320648675
023MP01Vjpur,Bijaypur,Sheopur,Ganga,Yamuna,26.049999999999997,77.46666666666667,441116414,8,2026-07-08T21:00:00+00:00,5,379.9,0,Linked live river forecast reach,34720.228320648675
023MP01Vjpur,Bijaypur,Sheopur,Ganga,Yamuna,26.049999999999997,77.46666666666667,441116414,8,2026-07-09T00:00:00+00:00,6,408.4,0,Linked live river forecast reach,34720.228320648675
023MP01Vjpur,Bijaypur,Sheopur,Ganga,Yamuna,26.049999999999997,77.46666666666667,441116414,8,2026-07-09T03:00:00+00:00,6,446.0,0,Linked live river forecast reach,34720.228320648675
023MP01Vjpur,Bijaypur,Sheopur,Ganga,Yamuna,26.049999999999997,77.46666666666667,441116414,8,2026-07-09T06:00:00+00:00,6,488.3,0,Linked live river forecast reach,34720.228320648675
023MP01Vjpur,Bijaypur,Sheopur,Ganga,Yamuna,26.049999999999997,77.46666666666667,441116414,8,2026-07-09T09:00:00+00:00,6,528.5,0,Linked live river forecast reach,34720.228320648675
023MP01Vjpur,Bijaypur,Sheopur,Ganga,Yamuna,26.049999999999997,77.46666666666667,441116414,8,2026-07-09T12:00:00+00:00,6,566.9,0,Linked live river forecast reach,34720.228320648675
023MP01Vjpur,Bijaypur,Sheopur,Ganga,Yamuna,26.049999999999997,77.46666666666667,441116414,8,2026-07-09T15:00:00+00:00,6,607.8,0,Linked live river forecast reach,34720.228320648675
023MP01Vjpur,Bijaypur,Sheopur,Ganga,Yamuna,26.049999999999997,77.46666666666667,441116414,8,2026-07-09T18:00:00+00:00,6,654.6,0,Linked live river forecast reach,34720.228320648675
023MP01Vjpur,Bijaypur,Sheopur,Ganga,Yamuna,26.049999999999997,77.46666666666667,441116414,8,2026-07-09T21:00:00+00:00,6,706.6,0,Linked live river forecast reach,34720.228320648675
