station_code,forecast_station_name,forecast_district,forecast_river,forecast_tributary,forecast_latitude,forecast_longitude,linked_comid,streamorder,reach_link_distance_m
MP0614_MOHDA,Mohuda,Balaghat,Godavari,Wainganga,21.655555555555555,80.28611111111111,440760233,6,10971.496262375102
MP0615_KRNPR,Kiranapur,Balaghat,Godavari,Wainganga,21.59083333333333,80.36527777777778,440760233,6,20080.631148727203
MP0616_BONKT,Bonkatta,Balaghat,Godavari,Wainganga,21.59444444444445,79.75722222222221,440824909,6,19492.91077540773
MP0620_HRKHR,Hirankheri,Chhindwara,Godavari,Wainganga,21.962499999999995,79.1436111111111,440785017,6,83091.14737937962
MP0620_PLWRA,Palatwara,Chhindwara,Godavari,Wainganga,22.186111111111117,78.97694444444444,441036748,6,99905.34761386192
MP0621_CHAND,Chand,Chhindwara,Godavari,Wainganga,21.950277777777774,79.1247222222222,440785017,6,81726.82298504395
MP0622_BJGRA,Bijagora,Chhindwara,Godavari,Wainganga,21.981666666666666,78.61472222222223,440785017,6,105353.78793589726
MP0622_HRGRH,Hirdagarh,Chhindwara,Godavari,Wainganga,22.13055555555555,78.52277777777778,440969334,6,91296.45913238276
MP0622_RMKON,Ramakona,Chhindwara,Godavari,Wainganga,21.68722222222221,78.84944444444443,440785017,6,61431.08866785153
MP0623_JAM,Jam,Chhindwara,Godavari,Wainganga,21.57,78.73555555555555,440785017,6,60256.310800017054
MP0623_LDKDA,Lodhikheda,Chhindwara,Godavari,Wainganga,21.579166666666666,78.86611111111111,440785017,6,50175.54147903866
MP1000_DDNGR,Deo Dongri,Betul,Tapi,Tapi,21.68055555555556,78.15,440785017,6,123443.1736710054
MP1000_PALNG,Palinga,Betul,Tapi,Tapi,21.803611111111103,77.43305555555554,440988608,7,91401.8738920646
MP1000_TESKA,Teska,Betul,Tapi,Tapi,21.81583333333333,77.77444444444443,440987232,7,102260.13781900889
MP1001_BLKDN,Balkhedan,Betul,Tapi,Purna,21.4,77.67222222222222,440988608,7,144272.89507037407
MP1002_PNSML,Pansemal,Badwani,Tapi,Gomai,21.653888888888886,74.68416666666667,440822163,6,29554.598186886447
MP1100_Bhdli,Bhadli,Khargon,Narmada,Veda,21.850833333333327,75.60527777777777,440983121,7,37207.352799811175
MP1100_Bmhni,Bamhni_Mandla,Mandla,Narmada,Banjar,22.48333333333333,80.36666666666666,440962463,6,12335.25192320282
MP1100_Bmnla,Bamnalla_Khargone,Khargon,Narmada,Veda,21.834444444444443,75.83583333333333,440976241,7,39820.51257861692
MP1100_Brtla,Behratola_Mandla,Mandla,Narmada,Burhner,22.5425,80.87,440962463,6,56038.311650724536
MP1100_Dgnwa,Doganwa_Khargone,Khargon,Narmada,Veda,22.114722222222223,74.6686111111111,440985878,7,8465.050850924663
MP1100_Dhlsr,Dhulsar_Dhar,Dhar,Narmada,Uri,22.17083333333333,77.90833333333333,440928059,7,70754.84359814823
