cwc_station_name,cwc_district,cwc_river,cwc_basin,cwc_latitude,cwc_longitude,cwc_start_date,cwc_end_date,cwc_daily_rows,cwc_missing_pct,cwc_nonzero_pct,station_code,forecast_station_name,forecast_district,forecast_river,forecast_tributary,forecast_latitude,forecast_longitude,linked_comid,streamorder,reach_link_distance_m,cwc_to_forecast_distance_km,name_similarity_score,river_or_basin_match,linkage_score,candidate_rank
Bichhubaggu,CHHINDWARA,Godavari,Godavari,21.69277778,78.86333333,2019-08-17,2025-12-31,1242,46.67,99.11,MP0623_LDKDA,Lodhikheda,Chhindwara,Godavari,Wainganga,21.579166666666666,78.86611111111111,440785017,6,50175.54147903866,12.636,0.2857,True,0.6805,1
Bichhubaggu,CHHINDWARA,Godavari,Godavari,21.69277778,78.86333333,2019-08-17,2025-12-31,1242,46.67,99.11,MP0622_RMKON,Ramakona,Chhindwara,Godavari,Wainganga,21.68722222222221,78.84944444444443,440785017,6,61431.08866785153,1.562,0.1053,True,0.6782,2
Bichhubaggu,CHHINDWARA,Godavari,Godavari,21.69277778,78.86333333,2019-08-17,2025-12-31,1242,46.67,99.11,MP0623_JAM,Jam,Chhindwara,Godavari,Wainganga,21.57,78.73555555555555,440785017,6,60256.310800017054,18.995,0.1429,True,0.5955,3
Bichhubaggu,CHHINDWARA,Godavari,Godavari,21.69277778,78.86333333,2019-08-17,2025-12-31,1242,46.67,99.11,MP0622_BJGRA,Bijagora,Chhindwara,Godavari,Wainganga,21.981666666666666,78.61472222222223,440785017,6,105353.78793589726,41.114,0.4211,True,0.5712,4
Bichhubaggu,CHHINDWARA,Godavari,Godavari,21.69277778,78.86333333,2019-08-17,2025-12-31,1242,46.67,99.11,MP0621_CHAND,Chand,Chhindwara,Godavari,Wainganga,21.950277777777774,79.1247222222222,440785017,6,81726.82298504395,39.343,0.375,True,0.5649,5
Borad at Thikri,BARWANI,Narmada,Narmada,22.073,75.40397222,2019-06-01,2025-12-31,2332,3.08,75.56,MP1100_Thkri,Thikri,Khargon,Narmada,Narmada,22.06666666666666,75.48333333333332,440970738,7,10335.4121083296,8.208,0.5714,True,0.8049,1
Borad at Thikri,BARWANI,Narmada,Narmada,22.073,75.40397222,2019-06-01,2025-12-31,2332,3.08,75.56,MP1100_Bhdli,Bhadli,Khargon,Narmada,Veda,21.850833333333327,75.60527777777777,440983121,7,37207.352799811175,32.268,0.381,True,0.6059,2
Borad at Thikri,BARWANI,Narmada,Narmada,22.073,75.40397222,2019-06-01,2025-12-31,2332,3.08,75.56,MP1100_Plsud,Palsud,Khargon,Narmada,Goi,21.837499999999995,74.97083333333332,440965237,7,29552.319797309792,51.78,0.1905,True,0.4319,3
Borad at Thikri,BARWANI,Narmada,Narmada,22.073,75.40397222,2019-06-01,2025-12-31,2332,3.08,75.56,MP1100_Gujri,Gujri,Dhar,Narmada,Karam,22.558333333333334,75.51666666666667,440983121,7,47214.50288495643,55.198,0.2,True,0.4164,4
Borad at Thikri,BARWANI,Narmada,Narmada,22.073,75.40397222,2019-06-01,2025-12-31,2332,3.08,75.56,MP1100_Bmnla,Bamnalla_Khargone,Khargon,Narmada,Veda,21.834444444444443,75.83583333333333,440976241,7,39820.51257861692,51.839,0.129,True,0.41,5
Chakrar at Gadasarai,DINDORI,Narmada,Narmada,22.82638889,81.32444444,2019-06-24,2025-12-31,2367,0.67,88.93,MP1100_Sakka,Sakke_Mandla,Mandla,Narmada,Kharmer,22.9,80.89999999999999,440932188,6,67548.04520713889,44.252,0.2581,True,0.4969,1
Chakrar at Gadasarai,DINDORI,Narmada,Narmada,22.82638889,81.32444444,2019-06-24,2025-12-31,2367,0.67,88.93,MP1100_Brtla,Behratola_Mandla,Mandla,Narmada,Burhner,22.5425,80.87,440962463,6,56038.311650724536,56.304,0.4,True,0.4803,2
Chakrar at Gadasarai,DINDORI,Narmada,Narmada,22.82638889,81.32444444,2019-06-24,2025-12-31,2367,0.67,88.93,MP1100_Ghgri,Ghughari_Mandla,Mandla,Narmada,Burhner,22.67333333333333,80.72055555555553,440962463,6,40562.4483671878,64.221,0.2941,True,0.3997,3
Chakrar at Gadasarai,DINDORI,Narmada,Narmada,22.82638889,81.32444444,2019-06-24,2025-12-31,2367,0.67,88.93,MP1100_Halon,Halon_Mandala,Mandla,Narmada,Burhner,22.39888888888888,80.79527777777778,440962463,6,52541.28072218832,72.18,0.375,True,0.3843,4
